Name,Current Price,Old Price,URL
Gold and silver - Tray Set 2 - Gold,"LE 1,490.00","LE 1,490.00",https://sheffieldegypt.com/products/gold-and-silver-tray-set-2-gold
Glass Nuts Stand With 2 Bowls - Gold,LE 835.00,LE 835.00,https://sheffieldegypt.com/products/glass-nuts-stand-with-2-bowls
Glass Nuts Stand With 3 Bowls - Gold,LE 965.00,LE 965.00,https://sheffieldegypt.com/products/glass-nuts-stand-with-3-bowls-gold
Glass Nuts Stand With 4 Bowls - Gold,"LE 1,155.00","LE 1,155.00",https://sheffieldegypt.com/products/glass-nuts-stand-with-4-bowls
Gold and silver - Tray Set 3 Pcs - Gold,"LE 4,450.00","LE 4,450.00",https://sheffieldegypt.com/products/gold-and-silver-tray-set-3-pcs-gold
Bohemia Crystal - Diamond Tumbler Set 6 Pcs Gold Rim - 230ml,"LE 1,845.00","LE 1,845.00",https://sheffieldegypt.com/products/bohemia-crystal-diamond-tumbler-set-6-pcs-gold-rim-230ml
Bohemia Crystal - Tumbler Diamond Glass Set 6 Pieces - Silver - 230ml,"LE 1,845.00","LE 1,845.00",https://sheffieldegypt.com/products/bohemia-crystal-tumbler-diamond-glass-set-6-pieces-silver-230ml
Queen Anne - Footed Round Tray - 35.5 cm,"LE 2,295.00","LE 2,295.00",https://sheffieldegypt.com/products/queen-anne-footed-round-tray-35-5-cm
Queen Anne - Round Double Jam Bowl With Lid & Spoon - Silver,"LE 1,145.00","LE 1,145.00",https://sheffieldegypt.com/products/queen-anne-round-double-jam-bowl-with-lid-spoon-silver
Queen Anne - Biscuit Tray With Handles - Silver - 15x39cm,"LE 1,485.00","LE 1,485.00",https://sheffieldegypt.com/products/queen-anne-biscuit-tray-with-handles-silver
"Queen Anne - Triple Food Warmer With Glass, Cover & Stand - Silver - 27x14 cm","LE 5,745.00","LE 5,745.00",https://sheffieldegypt.com/products/queen-anne-triple-food-warmer-with-glass-cover-stand-silver-27x14-cm
Queen Anne - Rectangular Butter Bowl With Lid - Silver - 12x8cm,LE 915.00,LE 915.00,https://sheffieldegypt.com/products/queen-anne-rectangular-butter-bowl-with-lid-silver-12x8cm
Queen Anne - Cruet Set 5 Pcs - Silver,"LE 1,145.00","LE 1,145.00",https://sheffieldegypt.com/products/queen-anne-cruet-set-5-pcs-silver-1
Queen Anne - Double Jam Dish With Lids & Spoons - Silver,"LE 1,605.00","LE 1,605.00",https://sheffieldegypt.com/products/queen-anne-double-jam-dish-with-lids-spoons-silver
Home Secret - Dinner Set 125 Pcs - Gold,"LE 19,995.00","LE 19,995.00",https://sheffieldegypt.com/products/home-secret-dinner-set-125-pcs-gold
Drobina - Dinner Set 60 Pcs - Gold,"LE 13,170.00","LE 13,170.00",https://sheffieldegypt.com/products/drobina-dinner-set-60-pcs-gold
Potato Masher - Stainless Steel,LE 145.00,LE 145.00,https://sheffieldegypt.com/products/potato-masher-stainless-steel
Peeler - Stainless Steel,LE 90.00,LE 90.00,https://sheffieldegypt.com/products/peeler-stainless-steel-3
Egg Cutter - Stainless Steel,LE 280.00,LE 280.00,https://sheffieldegypt.com/products/egg-cutter-stainless-steel
Peeler - Stainless Steel,LE 150.00,LE 150.00,https://sheffieldegypt.com/products/peeler-stainless-steel-2
Pizza Cutter - Stainless Steel,LE 170.00,LE 170.00,https://sheffieldegypt.com/products/pizza-cutter-stainless-steel
Garlic Press - Stainless Steel,LE 310.00,LE 310.00,https://sheffieldegypt.com/products/garlic-press-stainless-steel
Peeler - Stainless Steel,LE 130.00,LE 130.00,https://sheffieldegypt.com/products/peeler-stainless-steel-1
Nut Cracker - Stainless Steel,LE 270.00,LE 270.00,https://sheffieldegypt.com/products/nut-cracker-stainless-steel
Peeler - Stainless Steel,LE 130.00,LE 130.00,https://sheffieldegypt.com/products/peeler-stainless-steel
Glass Vase With Metal - Gold - 39x11cm,LE 880.00,LE 880.00,https://sheffieldegypt.com/products/glass-vase-with-metal-gold
Candle Holder Set 3 Pcs - Gold,LE 970.00,LE 970.00,https://sheffieldegypt.com/products/candle-holder-set-3-pcs-gold-2
Candle Holder Set 3 Pcs - Gold,LE 970.00,LE 970.00,https://sheffieldegypt.com/products/candle-holder-set-3-pcs-gold-1
Candle Holder Set 3 Pcs - Gold,LE 970.00,LE 970.00,https://sheffieldegypt.com/products/candle-holder-set-3-pcs-gold
Metal Decorative Vase - Gold - 43cm,LE 605.00,LE 605.00,https://sheffieldegypt.com/products/metal-decorative-vase-gold-43cm
Metal Decorative Vase - Gold - 50cm,LE 655.00,LE 655.00,https://sheffieldegypt.com/products/metal-decorative-vase-gold-50cm
Glass Box With Cover - Gold - 11x17cm,LE 765.00,LE 765.00,https://sheffieldegypt.com/products/glass-box-with-cover-gold-11x17cm
Glass Box With Cover - 19x24cm - gold,"LE 2,145.00","LE 2,145.00",https://sheffieldegypt.com/products/glass-box-with-cover-19x24cm-gold
Stainless Steel Steam Pot - Silver - 3L,"LE 2,655.00","LE 2,655.00",https://sheffieldegypt.com/products/stainless-steel-steam-pot-silver
Aitos - Kitchen Utensils 6 Pcs - Creamy&Dark blue,LE 780.00,LE 780.00,https://sheffieldegypt.com/products/aitos-kitchen-utensils-6-pcs-creamy-dark-blue
Ice Cream Serving Spoon - Stainless Steel,LE 150.00,LE 150.00,https://sheffieldegypt.com/products/ice-cream-serving-spoon-stainless-steel
Glass Bowl Set 7 Pcs - Gold,LE 700.00,LE 700.00,https://sheffieldegypt.com/products/glass-bowl-set-7-pcs-gold-2
Glass Bowl Set 7 Pcs - Silver,LE 700.00,LE 700.00,https://sheffieldegypt.com/products/glass-bowl-set-7-pcs-silver-1
Glass Bowl Set 7 Pcs - Gold,LE 700.00,LE 700.00,https://sheffieldegypt.com/products/glass-bowl-set-7-pcs-gold-1
Glass Bowl Set 7 Pcs - Silver,LE 540.00,LE 540.00,https://sheffieldegypt.com/products/glass-bowl-set-7-pcs-silver
Glass Bowl Set 7 Pcs - Gold,LE 540.00,LE 540.00,https://sheffieldegypt.com/products/glass-bowl-set-7-pcs-gold
Diamond Glass Bowl Set 7 Pcs- 24cm&11cm - Beige,"LE 1,575.00","LE 1,575.00",https://sheffieldegypt.com/products/bohemia-crystal-diamond-bowl-set-7-pcs-24cm-11cm-beige
Diamond Bowl Set 7 Pcs- 24cm&11cm - Blue,"LE 1,575.00","LE 1,575.00",https://sheffieldegypt.com/products/bohemia-crystal-diamond-bowl-set-7-pcs-24cm-11cm-blue
Royal Alfredo - Round Serving Plate - 36cm*8cm - Silver,"LE 2,395.00","LE 2,395.00",https://sheffieldegypt.com/products/royal-alfredo-round-serving-plate
Royal Alfredo - Three Round Footed Serving Plates,"LE 2,995.00","LE 2,995.00",https://sheffieldegypt.com/products/royal-alfredo-three-round-footed-serving-plates
Royal Alfredo - Double Round Footed Serving Plate -Silver,"LE 2,595.00","LE 2,595.00",https://sheffieldegypt.com/products/royal-alfredo-double-round-footed-serving-plate
Royal Alfredo - Round Footed Serving Plate - 19cm*26cm - Silver,"LE 1,695.00","LE 1,695.00",https://sheffieldegypt.com/products/royal-alfredo-round-footed-serving-plate
Queen Anne - Rectangular Tray With 6 Glasses - Silver,"LE 3,790.00","LE 3,790.00",https://sheffieldegypt.com/products/queen-anne-rectangular-tray-with-6-glasses-silver
"Queen Anne - Triple Food Warmer With Glass, Cover & Stand - Silver","LE 5,745.00","LE 5,745.00",https://sheffieldegypt.com/products/queen-anne-triple-food-warmer-with-glass-cover-stand-silver
Queen Anne - Cruet Set 5 Pcs - Silver,"LE 1,145.00","LE 1,145.00",https://sheffieldegypt.com/products/queen-anne-cruet-set-5-pcs-silver
"Queen Anne - Double Food Warmer With Glass, Cover & Stand - 41x28x19 cm - Silver","LE 4,360.00","LE 4,360.00",https://sheffieldegypt.com/products/queen-anne-double-food-warmer-with-glass-cover-stand-41x28x19-cm-silver
Queen Anne - Rectangular Party Dish With 6 Bowls & Lids - 30.5x26.5cm - Silver,"LE 3,670.00","LE 3,670.00",https://sheffieldegypt.com/products/queen-anne-rectangular-party-dish-with-6-bowls-lids-30-5x26-5cm-silver
Bohemia Crystal- Macao Footed Crystal Box - 28.5cm - Clear,"LE 3,950.00","LE 3,950.00",https://sheffieldegypt.com/products/bohemia-crystal-macao-footed-bowl-28-5cm-clear
Bohemia Crystal - Origami Crystal Box - 16cm - Clear,"LE 1,105.00","LE 1,105.00",https://sheffieldegypt.com/products/bohemia-crystal-origami-bowl-16-cm-clear
Royal Alfredo - 2 Rectangular Food Warmers Silver & Gold - 2x1.5L,"LE 3,995.00","LE 3,995.00",https://sheffieldegypt.com/products/royal-alfredo-2-rectangular-food-warmers-silver-gold-2x1-5l
Royal Alfredo - Salad Bowl With Servings Silver - 3L,"LE 3,295.00","LE 3,295.00",https://sheffieldegypt.com/products/royal-alfredo-salad-bowl-with-servings-silver-3l
Royal Alfredo - Oval Food Warmer Silver & Gold - 3L,"LE 3,995.00","LE 3,995.00",https://sheffieldegypt.com/products/royal-alfredo-oval-food-warmer-silver-gold-3l
Royal Alfredo - Oval Food Warmer Silver - 3L,"LE 3,495.00","LE 3,495.00",https://sheffieldegypt.com/products/royal-alfredo-oval-food-warmer-silver-3l
Royal Alfredo - 2 Rectangular Food Warmers Silver - 2x1.5L,"LE 3,995.00","LE 3,995.00",https://sheffieldegypt.com/products/royal-alfredo-2-rectangular-food-warmers-silver-2x1-5l
Royal Alfredo - Rectangular Food Warmer Silver & Gold - 3L,"LE 3,995.00","LE 3,995.00",https://sheffieldegypt.com/products/royal-alfredo-rectangular-food-warmer-silver-gold-3l
Royal Alfredo - Rectangular Food Warmer Silver - 3L,"LE 3,495.00","LE 3,495.00",https://sheffieldegypt.com/products/royal-alfredo-rectangular-food-warmer-silver-3l
Gold and silver - Hammered Tray Set 3 Pcs - Gold,"LE 3,585.00","LE 3,585.00",https://sheffieldegypt.com/products/gold-and-silver-hammered-tray-set-2-pcs-gold
Gold and silver - Tray Set 2 Pcs - Silver,"LE 2,445.00","LE 2,445.00",https://sheffieldegypt.com/products/gold-and-silver-tray-set-2-pcs-silver
Gold and silver - Hammered Tray Set 2 Pcs - Silver,"LE 2,550.00","LE 2,550.00",https://sheffieldegypt.com/products/gold-and-silver-hammered-tray-set-2-pcs-silver
Gold and silver - Tray Set 2 Pcs - Gold & Silver,"LE 1,565.00","LE 1,565.00",https://sheffieldegypt.com/products/gold-and-silver-tray-set-2-pcs-gold-silver-2
Gold and silver - Tray Set 2 Pcs - Gold & Silver,"LE 1,565.00","LE 1,565.00",https://sheffieldegypt.com/products/gold-and-silver-tray-set-2-pcs-gold-silver-1
Gold and silver - Tray Set 2 Pcs - Gold & Silver,"LE 1,565.00","LE 1,565.00",https://sheffieldegypt.com/products/gold-and-silver-tray-set-2-pcs-gold-silver
Gold and silver - Tray - Silver - 33x39cm,"LE 1,405.00","LE 1,405.00",https://sheffieldegypt.com/products/gold-and-silver-tray-silver-33x39cm
